date,new_constructed_units,unemployment_rate,interest_rates,income,home_price_index,per_capita_gdp,urban_population
01-01-1947,NA,NA,NA,NA,NA,15248,NA
01-02-1947,NA,NA,NA,NA,NA,15248,NA
01-03-1947,NA,NA,NA,NA,NA,15248,NA
01-04-1947,NA,NA,NA,NA,NA,15139,NA
01-05-1947,NA,NA,NA,NA,NA,15139,NA
01-06-1947,NA,NA,NA,NA,NA,15139,NA
01-07-1947,NA,NA,NA,NA,NA,15039,NA
01-08-1947,NA,NA,NA,NA,NA,15039,NA
01-09-1947,NA,NA,NA,NA,NA,15039,NA
01-10-1947,NA,NA,NA,NA,NA,15204,NA
01-11-1947,NA,NA,NA,NA,NA,15204,NA
01-12-1947,NA,NA,NA,NA,NA,15204,NA
01-01-1948,NA,3.4,NA,NA,NA,15371,NA
01-02-1948,NA,3.8,NA,NA,NA,15371,NA
01-03-1948,NA,4,NA,NA,NA,15371,NA
01-04-1948,NA,3.9,NA,NA,NA,15563,NA
01-05-1948,NA,3.5,NA,NA,NA,15563,NA
01-06-1948,NA,3.6,NA,NA,NA,15563,NA
01-07-1948,NA,3.6,NA,NA,NA,15585,NA
01-08-1948,NA,3.9,NA,NA,NA,15585,NA
01-09-1948,NA,3.8,NA,NA,NA,15585,NA
01-10-1948,NA,3.7,NA,NA,NA,15530,NA
01-11-1948,NA,3.8,NA,NA,NA,15530,NA
01-12-1948,NA,4,NA,NA,NA,15530,NA
01-01-1949,NA,4.3,NA,NA,NA,15250,NA
01-02-1949,NA,4.7,NA,NA,NA,15250,NA
01-03-1949,NA,5,NA,NA,NA,15250,NA
01-04-1949,NA,5.3,NA,NA,NA,15137,NA
01-05-1949,NA,6.1,NA,NA,NA,15137,NA
01-06-1949,NA,6.2,NA,NA,NA,15137,NA
01-07-1949,NA,6.7,NA,NA,NA,15228,NA
01-08-1949,NA,6.8,NA,NA,NA,15228,NA
01-09-1949,NA,6.6,NA,NA,NA,15228,NA
01-10-1949,NA,7.9,NA,NA,NA,15032,NA
01-11-1949,NA,6.4,NA,NA,NA,15032,NA
01-12-1949,NA,6.6,NA,NA,NA,15032,NA
01-01-1950,NA,6.5,NA,NA,NA,15559,NA
01-02-1950,NA,6.4,NA,NA,NA,15559,NA
01-03-1950,NA,6.3,NA,NA,NA,15559,NA
01-04-1950,NA,5.8,NA,NA,NA,15977,NA
01-05-1950,NA,5.5,NA,NA,NA,15977,NA
01-06-1950,NA,5.4,NA,NA,NA,15977,NA
01-07-1950,NA,5,NA,NA,NA,16524,NA
01-08-1950,NA,4.5,NA,NA,NA,16524,NA
01-09-1950,NA,4.4,NA,NA,NA,16524,NA
01-10-1950,NA,4.2,NA,NA,NA,16764,NA
01-11-1950,NA,4.2,NA,NA,NA,16764,NA
01-12-1950,NA,4.3,NA,NA,NA,16764,NA
01-01-1951,NA,3.7,NA,NA,NA,16922,NA
01-02-1951,NA,3.4,NA,NA,NA,16922,NA
01-03-1951,NA,3.4,NA,NA,NA,16922,NA
01-04-1951,NA,3.1,NA,NA,NA,17147,NA
01-05-1951,NA,3,NA,NA,NA,17147,NA
01-06-1951,NA,3.2,NA,NA,NA,17147,NA
01-07-1951,NA,3.1,NA,NA,NA,17420,NA
01-08-1951,NA,3.1,NA,NA,NA,17420,NA
01-09-1951,NA,3.3,NA,NA,NA,17420,NA
01-10-1951,NA,3.5,NA,NA,NA,17375,NA
01-11-1951,NA,3.5,NA,NA,NA,17375,NA
01-12-1951,NA,3.1,NA,NA,NA,17375,NA
01-01-1952,NA,3.2,NA,NA,NA,17490,NA
01-02-1952,NA,3.1,NA,NA,NA,17490,NA
01-03-1952,NA,2.9,NA,NA,NA,17490,NA
01-04-1952,NA,2.9,NA,NA,NA,17459,NA
01-05-1952,NA,3,NA,NA,NA,17459,NA
01-06-1952,NA,3,NA,NA,NA,17459,NA
01-07-1952,NA,3.2,NA,NA,NA,17509,NA
01-08-1952,NA,3.4,NA,NA,NA,17509,NA
01-09-1952,NA,3.1,NA,NA,NA,17509,NA
01-10-1952,NA,3,NA,NA,NA,18001,NA
01-11-1952,NA,2.8,NA,NA,NA,18001,NA
01-12-1952,NA,2.7,NA,NA,NA,18001,NA
01-01-1953,NA,2.9,NA,NA,NA,18268,NA
01-02-1953,NA,2.6,NA,NA,NA,18268,NA
01-03-1953,NA,2.6,NA,NA,NA,18268,NA
01-04-1953,NA,2.7,NA,NA,NA,18341,NA
01-05-1953,NA,2.5,NA,NA,NA,18341,NA
01-06-1953,NA,2.5,NA,NA,NA,18341,NA
01-07-1953,NA,2.6,NA,NA,NA,18155,NA
01-08-1953,NA,2.7,NA,NA,NA,18155,NA
01-09-1953,NA,2.9,NA,NA,NA,18155,NA
01-10-1953,NA,3.1,NA,NA,NA,17797,NA
01-11-1953,NA,3.5,NA,NA,NA,17797,NA
01-12-1953,NA,4.5,NA,NA,NA,17797,NA
01-01-1954,NA,4.9,NA,NA,NA,17636,NA
01-02-1954,NA,5.2,NA,NA,NA,17636,NA
01-03-1954,NA,5.7,NA,NA,NA,17636,NA
01-04-1954,NA,5.9,NA,NA,NA,17584,NA
01-05-1954,NA,5.9,NA,NA,NA,17584,NA
01-06-1954,NA,5.6,NA,NA,NA,17584,NA
01-07-1954,NA,5.8,0.8,NA,NA,17701,NA
01-08-1954,NA,6,1.22,NA,NA,17701,NA
01-09-1954,NA,6.1,1.07,NA,NA,17701,NA
01-10-1954,NA,5.7,0.85,NA,NA,17960,NA
01-11-1954,NA,5.3,0.83,NA,NA,17960,NA
01-12-1954,NA,5,1.28,NA,NA,17960,NA
01-01-1955,NA,4.9,1.39,NA,NA,18396,NA
01-02-1955,NA,4.7,1.29,NA,NA,18396,NA
01-03-1955,NA,4.6,1.35,NA,NA,18396,NA
01-04-1955,NA,4.7,1.43,NA,NA,18621,NA
01-05-1955,NA,4.3,1.43,NA,NA,18621,NA
01-06-1955,NA,4.2,1.64,NA,NA,18621,NA
01-07-1955,NA,4,1.68,NA,NA,18787,NA
01-08-1955,NA,4.2,1.96,NA,NA,18787,NA
01-09-1955,NA,4.1,2.18,NA,NA,18787,NA
01-10-1955,NA,4.3,2.24,NA,NA,18808,NA
01-11-1955,NA,4.2,2.35,NA,NA,18808,NA
01-12-1955,NA,4.2,2.48,NA,NA,18808,NA
01-01-1956,NA,4,2.45,NA,NA,18658,NA
01-02-1956,NA,3.9,2.5,NA,NA,18658,NA
01-03-1956,NA,4.2,2.5,NA,NA,18658,NA
01-04-1956,NA,4,2.62,NA,NA,18736,NA
01-05-1956,NA,4.3,2.75,NA,NA,18736,NA
01-06-1956,NA,4.3,2.71,NA,NA,18736,NA
01-07-1956,NA,4.4,2.75,NA,NA,18632,NA
01-08-1956,NA,4.1,2.73,NA,NA,18632,NA
01-09-1956,NA,3.9,2.95,NA,NA,18632,NA
01-10-1956,NA,3.9,2.96,NA,NA,18845,NA
01-11-1956,NA,4.3,2.88,NA,NA,18845,NA
01-12-1956,NA,4.2,2.94,NA,NA,18845,NA
01-01-1957,NA,4.2,2.84,NA,NA,18881,NA
01-02-1957,NA,3.9,3,NA,NA,18881,NA
01-03-1957,NA,3.7,2.96,NA,NA,18881,NA
01-04-1957,NA,3.9,3,NA,NA,18763,NA
01-05-1957,NA,4.1,3,NA,NA,18763,NA
01-06-1957,NA,4.3,3,NA,NA,18763,NA
01-07-1957,NA,4.2,2.99,NA,NA,18862,NA
01-08-1957,NA,4.1,3.24,NA,NA,18862,NA
01-09-1957,NA,4.4,3.47,NA,NA,18862,NA
01-10-1957,NA,4.5,3.5,NA,NA,18582,NA
01-11-1957,NA,5.1,3.28,NA,NA,18582,NA
01-12-1957,NA,5.2,2.98,NA,NA,18582,NA
01-01-1958,NA,5.8,2.72,NA,NA,18032,NA
01-02-1958,NA,6.4,1.67,NA,NA,18032,NA
01-03-1958,NA,6.7,1.2,NA,NA,18032,NA
01-04-1958,NA,7.4,1.26,NA,NA,18081,NA
01-05-1958,NA,7.4,0.63,NA,NA,18081,NA
01-06-1958,NA,7.3,0.93,NA,NA,18081,NA
01-07-1958,NA,7.5,0.68,NA,NA,18419,NA
01-08-1958,NA,7.4,1.53,NA,NA,18419,NA
01-09-1958,NA,7.1,1.76,NA,NA,18419,NA
01-10-1958,NA,6.7,1.8,NA,NA,18764,NA
01-11-1958,NA,6.2,2.27,NA,NA,18764,NA
01-12-1958,NA,6.2,2.42,NA,NA,18764,NA
01-01-1959,NA,6,2.48,2318.4,NA,19041,NA
01-02-1959,NA,5.9,2.43,2325.4,NA,19041,NA
01-03-1959,NA,5.6,2.8,2338.7,NA,19041,NA
01-04-1959,NA,5.2,2.96,2353.8,NA,19395,NA
01-05-1959,NA,5.1,2.9,2366.6,NA,19395,NA
01-06-1959,NA,5,3.39,2374.5,NA,19395,NA
01-07-1959,NA,5.1,3.47,2370.8,NA,19326,NA
01-08-1959,NA,5.2,3.5,2356.8,NA,19326,NA
01-09-1959,NA,5.5,3.76,2357.8,NA,19326,NA
01-10-1959,NA,5.7,3.98,2359.5,NA,19296,NA
01-11-1959,NA,5.8,4,2376.6,NA,19296,NA
01-12-1959,NA,5.3,3.99,2399.7,NA,19296,NA
